Category,Subcategory,Item,Measurement,Amount,Notes,Source
Baseline Ops,Team,Team salaries,Monthly USD,60000,"Role mix: 1 backend, 1 frontend, 1 DevOps, 1 AI/ML, 0.5 PM, 0.5 technical writer (90-day plan)",pcg-cc-mcp/PHASE_V_PRIORITY_RELEASE_PLAN.md:1096-1111
Baseline Ops,Team,Team salaries,90-day USD,180000,Covers the same staffing plan over a quarter,pcg-cc-mcp/PHASE_V_PRIORITY_RELEASE_PLAN.md:1096-1111
Baseline Ops,Infrastructure,AWS/DO infrastructure,Monthly USD,2000,Cloud hosting budget for core services,pcg-cc-mcp/PHASE_V_PRIORITY_RELEASE_PLAN.md:1105-1111
Baseline Ops,Infrastructure,AWS/DO infrastructure,90-day USD,6000,Quarterly allocation for compute + storage,pcg-cc-mcp/PHASE_V_PRIORITY_RELEASE_PLAN.md:1105-1111
Baseline Ops,External APIs,OpenAI and other APIs,Monthly USD,1000,Budget for LLM usage outside of per-unit tracking,pcg-cc-mcp/PHASE_V_PRIORITY_RELEASE_PLAN.md:1105-1111
Baseline Ops,External APIs,OpenAI and other APIs,90-day USD,3000,Quarterly allocation for API consumption,pcg-cc-mcp/PHASE_V_PRIORITY_RELEASE_PLAN.md:1105-1111
Baseline Ops,Tooling,Grafana Cloud and supporting tools,Monthly USD,500,"Monitoring, logging, collaboration subscriptions",pcg-cc-mcp/PHASE_V_PRIORITY_RELEASE_PLAN.md:1105-1111
Baseline Ops,Tooling,Grafana Cloud and supporting tools,90-day USD,1500,Quarterly tooling allocation,pcg-cc-mcp/PHASE_V_PRIORITY_RELEASE_PLAN.md:1105-1111
Baseline Ops,Total,Run-rate total,Monthly USD,63500,"Sum of salaries, infrastructure, APIs, and tools",pcg-cc-mcp/PHASE_V_PRIORITY_RELEASE_PLAN.md:1105-1111
Baseline Ops,Total,Run-rate total,90-day USD,190500,Quarterly sum of baseline expenses,pcg-cc-mcp/PHASE_V_PRIORITY_RELEASE_PLAN.md:1105-1111
Voice Stack,Production voice,ElevenLabs TTS + OpenAI Whisper STT,Monthly USD (estimated),5-30,British executive voice pairing for production usage,pcg-cc-mcp/NORA_VOICE_STATUS_REPORT.md:465-472
Voice Stack,Enterprise voice,Azure Speech services,Usage-based,Pay-as-you-go,"Enterprise SLAs, GDPR compliance, includes free tier (5h STT / 0.5M TTS characters)",pcg-cc-mcp/NORA_VOICE_STATUS_REPORT.md:474-500
Voice Stack,OpenAI,OpenAI text-to-speech,Per 1M characters (USD),15,Applies to GPT-4o-TTS endpoints,pcg-cc-mcp/NORA_VOICE_STATUS_REPORT.md:492-495
Voice Stack,OpenAI,OpenAI speech-to-text,Per audio minute USD,0.006,Whisper STT cost per minute,pcg-cc-mcp/NORA_VOICE_STATUS_REPORT.md:492-495
Networking,Cloudflare Tunnel,Zero Trust free tier,Monthly USD,0,Supports 50 users with unlimited traffic,pcg-cc-mcp/CLOUDFLARE_TUNNEL.md:170-175
Networking,Cloudflare Tunnel,Zero Trust paid tier,Monthly USD,Variable,Adds more seats and device posture checks,pcg-cc-mcp/CLOUDFLARE_TUNNEL.md:170-175
Model APIs,OpenAI,GPT-4o input,Per 1M input tokens USD,5.00,Pay-per-token cost as of Sept 2025,duck-rs/commercial-platforms-analysis.md:13-16
Model APIs,OpenAI,GPT-4o output,Per 1M output tokens USD,15.00,Pay-per-token cost as of Sept 2025,duck-rs/commercial-platforms-analysis.md:13-16
Model APIs,OpenAI,GPT-4o-mini input,Per 1M input tokens USD,0.15,Lower-cost model for high-volume usage,duck-rs/commercial-platforms-analysis.md:13-16
Model APIs,OpenAI,GPT-4o-mini output,Per 1M output tokens USD,0.60,Lower-cost model for high-volume usage,duck-rs/commercial-platforms-analysis.md:13-16
Model APIs,OpenAI,Function calling overhead,Additional tokens (%),10-15,Token overhead typical when enabling tool calls,duck-rs/commercial-platforms-analysis.md:13-16
Model APIs,Azure OpenAI,Enterprise support tier,Monthly USD,29-300,Azure support plans layered on top of OpenAI token costs,duck-rs/commercial-platforms-analysis.md:41-45
Model APIs,Anthropic,Claude-3.5 Sonnet input,Per 1M input tokens USD,3.00,Premium reasoning tier,duck-rs/commercial-platforms-analysis.md:64-68
Model APIs,Anthropic,Claude-3.5 Sonnet output,Per 1M output tokens USD,15.00,Premium reasoning tier,duck-rs/commercial-platforms-analysis.md:64-68
Model APIs,Anthropic,Claude-3 Haiku input,Per 1M input tokens USD,0.25,Lower-cost Claude tier,duck-rs/commercial-platforms-analysis.md:64-68
Model APIs,Anthropic,Claude-3 Haiku output,Per 1M output tokens USD,1.25,Lower-cost Claude tier,duck-rs/commercial-platforms-analysis.md:64-68
Model APIs,Anthropic,Claude-3 Opus input,Per 1M input tokens USD,15.00,Flagship Anthropic model,duck-rs/commercial-platforms-analysis.md:64-68
Model APIs,Anthropic,Claude-3 Opus output,Per 1M output tokens USD,75.00,Flagship Anthropic model,duck-rs/commercial-platforms-analysis.md:64-68
Model APIs,Google Vertex,Gemini Pro input,Per 1M input tokens USD,0.50,Google Vertex AI pricing,duck-rs/commercial-platforms-analysis.md:92-95
Model APIs,Google Vertex,Gemini Pro output,Per 1M output tokens USD,1.50,Google Vertex AI pricing,duck-rs/commercial-platforms-analysis.md:92-95
Model APIs,Google Vertex,Gemini Flash input,Per 1M input tokens USD,0.075,Latency-optimized Gemini tier,duck-rs/commercial-platforms-analysis.md:92-95
Model APIs,Google Vertex,Gemini Flash output,Per 1M output tokens USD,0.30,Latency-optimized Gemini tier,duck-rs/commercial-platforms-analysis.md:92-95
Model APIs,Google Vertex,Gemini Ultra input,Per 1M input tokens USD,10.00,Highest-capability Gemini tier,duck-rs/commercial-platforms-analysis.md:92-95
Model APIs,Google Vertex,Gemini Ultra output,Per 1M output tokens USD,30.00,Highest-capability Gemini tier,duck-rs/commercial-platforms-analysis.md:92-95
Model APIs,AWS Bedrock,Claude-3 on Bedrock,Per 1M tokens USD,2.40-60.00,Range covers Haiku through Opus tiers,duck-rs/commercial-platforms-analysis.md:121-125
Model APIs,AWS Bedrock,Command input,Per 1M input tokens USD,1.50,Cohere Command hosted via Bedrock,duck-rs/commercial-platforms-analysis.md:121-125
Model APIs,AWS Bedrock,Command output,Per 1M output tokens USD,2.00,Cohere Command hosted via Bedrock,duck-rs/commercial-platforms-analysis.md:121-125
Model APIs,AWS Bedrock,Llama 2 input,Per 1M input tokens USD,0.75,Meta Llama 2 pricing via Bedrock,duck-rs/commercial-platforms-analysis.md:121-125
Model APIs,AWS Bedrock,Llama 2 output,Per 1M output tokens USD,1.00,Meta Llama 2 pricing via Bedrock,duck-rs/commercial-platforms-analysis.md:121-125
Model APIs,AWS Bedrock,Amazon Titan input,Per 1M input tokens USD,0.50,Titan text generation pricing,duck-rs/commercial-platforms-analysis.md:121-125
Model APIs,AWS Bedrock,Amazon Titan output,Per 1M output tokens USD,0.70,Titan text generation pricing,duck-rs/commercial-platforms-analysis.md:121-125
Model APIs,Cohere,Starter plan base,Monthly USD,20,"Includes 1,000 API calls then usage-based pricing",duck-rs/commercial-platforms-analysis.md:151-155
Model APIs,Hugging Face,Inference API Pro subscription,Monthly USD,9,Base subscription before GPU runtime,duck-rs/commercial-platforms-analysis.md:175-184
Model APIs,Hugging Face,Inference API GPU runtime,Per GPU hour USD,0.06,Usage add-on for Pro tier,duck-rs/commercial-platforms-analysis.md:175-184
Model APIs,Hugging Face,Dedicated endpoints,Per endpoint hour USD,0.40-4.00,Depends on selected hardware tier,duck-rs/commercial-platforms-analysis.md:175-184
Model APIs,Mistral,Mistral Small input,Per 1M input tokens USD,1.00,Direct Mistral API,duck-rs/commercial-platforms-analysis.md:207-210
Model APIs,Mistral,Mistral Small output,Per 1M output tokens USD,3.00,Direct Mistral API,duck-rs/commercial-platforms-analysis.md:207-210
Model APIs,Mistral,Mistral Medium input,Per 1M input tokens USD,2.70,Direct Mistral API,duck-rs/commercial-platforms-analysis.md:207-210
Model APIs,Mistral,Mistral Medium output,Per 1M output tokens USD,8.10,Direct Mistral API,duck-rs/commercial-platforms-analysis.md:207-210
Model APIs,Mistral,Mistral Large input,Per 1M input tokens USD,4.00,Direct Mistral API,duck-rs/commercial-platforms-analysis.md:207-210
Model APIs,Mistral,Mistral Large output,Per 1M output tokens USD,12.00,Direct Mistral API,duck-rs/commercial-platforms-analysis.md:207-210
Model APIs,Blended cost,OpenAI GPT-4o,Per 1M tokens USD,20.00,Comparison matrix normalized view,duck-rs/tool-calling-comparison-matrix.md:11-21
